"geoid2","geoname","est_pop2015","pop2020","pop2030","pop2040","Poverty.Percent.All.Ages"
51001,"Accomack County",33516,33432,33568,33661,19.9
51003,"Albemarle County",105051,115642,134196,154814,9.4
51005,"Alleghany County",15515,15742,15394,15121,13.3
51007,"Amelia County",12909,13413,13968,14449,12.5
51009,"Amherst County",32028,33353,34386,35340,14.5
51011,"Appomattox County",15455,15833,16551,17191,16.5
51013,"Arlington County",234678,206896,201699,197065,8
51015,"Augusta County",74881,80655,87580,94713,9.9
51017,"Bath County",4727,4714,4760,4816,11.5
51019,"Bedford County",77575,77257,86325,95943,9.9
51021,"Bland County",6684,7001,7212,7415,15.4
51023,"Botetourt County",33486,35235,37121,38885,7.6
51025,"Brunswick County",16930,17191,17137,17129,24.8
51027,"Buchanan County",22983,23383,23263,23296,23
51029,"Buckingham County",16988,17761,18131,18419,23
51031,"Campbell County",56167,57834,60459,62825,14.4
51033,"Caroline County",29792,31400,33447,35259,12.1
51035,"Carroll County",29283,30514,30877,31187,19.6
51036,"Charles City County",7331,7811,8376,8905,13.3
51037,"Charlotte County",12454,12523,12427,12332,18.5
51041,"Chesterfield County",333450,388894,473842,572693,7.3
51043,"Clarke County",14206,15025,15871,16631,8.6
51045,"Craig County",5192,5523,5884,6228,13.5
51047,"Culpeper County",48908,55102,63614,72835,10.9
51049,"Cumberland County",9989,10623,11057,11434,17.3
51051,"Dickenson County",15339,15600,15375,15193,21.3
51053,"Dinwiddie County",28753,29542,30516,31276,13.1
51057,"Essex County",10914,11884,12479,13007,15.7
51059,"Fairfax County",1129330,1182609,1271995,1350245,6
51061,"Fauquier County",67898,74118,83312,93028,6.9
51063,"Floyd County",15430,15902,16312,16645,14.1
51065,"Fluvanna County",26162,29009,31839,34537,8.8
51067,"Franklin County",56373,62412,68461,74695,14.1
51069,"Frederick County",82623,97192,119419,145938,8.8
51071,"Giles County",17179,17821,18283,18683,12.7
51073,"Gloucester County",37072,39681,42520,45222,9.7
51075,"Goochland County",22277,24088,25886,27505,7.4
51077,"Grayson County",16087,15014,14727,14520,19.4
51079,"Greene County",19840,20397,22082,23638,9.5
51081,"Greensville County",11804,12473,12589,12672,25.5
51083,"Halifax County",35766,35770,35489,35281,20.1
51085,"Hanover County",104013,118135,139000,162475,6.5
51087,"Henrico County",320717,352577,400397,450630,10.1
51089,"Henry County",52822,54182,55233,56387,17.6
